tiff_path,region,buoy_date_time,buoy_id,buoy_type,buoy_lat,buoy_lon,time_diff_seconds
region-27_0-82_951-35_52-83_8/2014/12/11/20141211T1318.tiff,region-27_0-82_951-35_52-83_8,2014-12-11 13:00:28,300234061369400.0,IceBall,83.249,35.039,1052.0
region-27_0-82_951-35_52-83_8/2014/12/11/20141211T0646.tiff,region-27_0-82_951-35_52-83_8,2014-12-11 07:00:28,300234061369400.0,IceBall,83.2578,35.1808,868.0
region-27_0-82_951-35_52-83_8/2014/12/12/20141212T0727.tiff,region-27_0-82_951-35_52-83_8,2014-12-12 07:00:28,300234061369400.0,IceBall,83.2234,34.0046,1592.0
region-27_0-82_951-35_52-83_8/2014/12/12/20141212T1359.tiff,region-27_0-82_951-35_52-83_8,2014-12-12 13:59:31,300234061369400.0,IceBall,83.218,33.483,31.0
region-27_0-82_951-35_52-83_8/2014/12/13/20141213T1301.tiff,region-27_0-82_951-35_52-83_8,2014-12-13 13:00:28,300234061369400.0,IceBall,83.2428,32.4654,32.0
region-27_0-82_951-35_52-83_8/2014/12/13/20141213T0807.tiff,region-27_0-82_951-35_52-83_8,2014-12-13 07:59:31,300234061369400.0,IceBall,83.2328,32.5458,449.0
region-27_0-82_951-35_52-83_8/2014/12/14/20141214T1342.tiff,region-27_0-82_951-35_52-83_8,2014-12-14 13:59:31,300234061369400.0,IceBall,83.2818,32.002,1051.0
region-27_0-82_951-35_52-83_8/2014/12/14/20141214T0711.tiff,region-27_0-82_951-35_52-83_8,2014-12-14 07:00:28,300234061369400.0,IceBall,83.2814,32.1202,632.0
region-27_0-82_951-35_52-83_8/2014/12/15/20141215T1246.tiff,region-27_0-82_951-35_52-83_8,2014-12-15 13:00:28,300234061369400.0,IceBall,83.2756,31.6058,868.0
region-27_0-82_951-35_52-83_8/2014/12/15/20141215T0751.tiff,region-27_0-82_951-35_52-83_8,2014-12-15 07:59:31,300234061369400.0,IceBall,83.2756,31.8094,511.0
region-27_0-82_951-35_52-83_8/2014/12/16/20141216T0654.tiff,region-27_0-82_951-35_52-83_8,2014-12-16 07:00:28,300234061369400.0,IceBall,83.283,31.0006,388.0
